Category,City,Country/Region,Order Date,Year,Month,Order ID,Postal Code,Product ID,Product Name,Region,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Profit,Quantity,Sales,Sales Forecast
Office Supplies,New York City,United States,11-12-2019,2019,Dec,CA-2019-105816,10024,OFF-FA-10000304,Advantus Push Pins,East,Corporate,17-12-2019,Standard Class,Shipped On Time,New York,Fasteners,6,6,0,6,7,15,23
Technology,New York City,United States,11-12-2019,2019,Dec,CA-2019-105816,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,East,Corporate,17-12-2019,Standard Class,Shipped On Time,New York,Phones,6,6,0,299,5,1030,1542
Office Supplies,Troy,United States,17-06-2019,2019,Jun,CA-2019-111682,12180,OFF-ST-10000604,Home/Office Personal File Carts,East,Consumer,18-06-2019,First Class,Shipped On Time,New York,Storage,1,1,0,52,6,209,312
Office Supplies,Troy,United States,17-06-2019,2019,Jun,CA-2019-111682,12180,OFF-PA-10001569,Xerox 232,East,Consumer,18-06-2019,First Class,Shipped On Time,New York,Paper,1,1,0,16,5,32,49
Furniture,Troy,United States,17-06-2019,2019,Jun,CA-2019-111682,12180,FUR-CH-10003968,Novimex Turbo Task Chair,East,Consumer,18-06-2019,First Class,Shipped On Time,New York,Chairs,1,1,10,7,5,319,478
Office Supplies,Troy,United States,17-06-2019,2019,Jun,CA-2019-111682,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",East,Consumer,18-06-2019,First Class,Shipped On Time,New York,Paper,1,1,0,7,2,15,22
Technology,Troy,United States,17-06-2019,2019,Jun,CA-2019-111682,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,18-06-2019,First Class,Shipped On Time,New York,Accessories,1,1,0,3,2,30,45
Office Supplies,Troy,United States,17-06-2019,2019,Jun,CA-2019-111682,12180,OFF-BI-10001460,Plastic Binding Combs,East,Consumer,18-06-2019,First Class,Shipped On Time,New York,Binders,1,1,20,16,4,48,73
Office Supplies,Troy,United States,17-06-2019,2019,Jun,CA-2019-111682,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,East,Consumer,18-06-2019,First Class,Shipped On Time,New York,Art,1,1,0,1,1,2,3
Technology,Los Angeles,United States,24-11-2018,2018,Nov,CA-2018-135545,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,Consumer,30-11-2018,Standard Class,Shipped On Time,California,Accessories,6,6,0,6,2,14,21
Office Supplies,Los Angeles,United States,24-11-2018,2018,Nov,CA-2018-135545,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,Consumer,30-11-2018,Standard Class,Shipped On Time,California,Binders,6,6,20,9,6,26,39
Office Supplies,Los Angeles,United States,24-11-2018,2018,Nov,CA-2018-135545,90004,OFF-PA-10003892,Xerox 1943,West,Consumer,30-11-2018,Standard Class,Shipped On Time,California,Paper,6,6,0,69,3,147,220
Furniture,Los Angeles,United States,24-11-2018,2018,Nov,CA-2018-135545,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,West,Consumer,30-11-2018,Standard Class,Shipped On Time,California,Furnishings,6,6,0,22,4,80,119
Furniture,Chicago,United States,30-04-2018,2018,Apr,US-2018-164175,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Central,Home Office,05-05-2018,Standard Class,Shipped Early,Illinois,Chairs,5,6,30,15,5,213,319
Office Supplies,Gilbert,United States,05-12-2017,2017,Dec,CA-2017-106376,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Corporate,10-12-2017,Standard Class,Shipped Early,Arizona,Art,5,6,20,111,8,1113,1667
Technology,Gilbert,United States,05-12-2017,2017,Dec,CA-2017-106376,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,West,Corporate,10-12-2017,Standard Class,Shipped Early,Arizona,Phones,5,6,20,63,4,168,252
Office Supplies,Springfield,United States,04-06-2019,2019,Jun,CA-2019-119823,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,Consumer,06-06-2019,First Class,Shipped Late,Virginia,Paper,2,1,0,36,2,76,114
Office Supplies,New York City,United States,18-09-2019,2019,Sep,CA-2019-106075,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,East,Consumer,23-09-2019,Standard Class,Shipped Early,New York,Binders,5,6,20,2,1,5,7
Office Supplies,Jackson,United States,14-09-2020,2020,Sep,CA-2020-114440,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Consumer,17-09-2020,Second Class,Shipped On Time,Michigan,Paper,3,3,0,9,3,19,29
Furniture,Memphis,United States,26-04-2018,2018,Apr,US-2018-134026,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,South,Consumer,02-05-2018,Standard Class,Shipped On Time,Tennessee,Chairs,6,6,20,114,8,832,1246
Furniture,Memphis,United States,26-04-2018,2018,Apr,US-2018-134026,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Consumer,02-05-2018,Standard Class,Shipped On Time,Tennessee,Furnishings,6,6,20,1,2,97,145
Office Supplies,Memphis,United States,26-04-2018,2018,Apr,US-2018-134026,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,South,Consumer,02-05-2018,Standard Class,Shipped On Time,Tennessee,Storage,6,6,20,18,1,73,109
Office Supplies,Houston,United States,09-12-2020,2020,Dec,US-2020-118038,77041,OFF-BI-10004182,Economy Binders,Central,Corporate,11-12-2020,First Class,Shipped Late,Texas,Binders,2,1,80,2,3,1,2
Furniture,Houston,United States,09-12-2020,2020,Dec,US-2020-118038,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Central,Corporate,11-12-2020,First Class,Shipped Late,Texas,Furnishings,2,1,60,6,3,10,15
Office Supplies,Houston,United States,09-12-2020,2020,Dec,US-2020-118038,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Corporate,11-12-2020,First Class,Shipped Late,Texas,Storage,2,1,20,3,3,27,41
Furniture,Houston,United States,26-11-2017,2017,Nov,US-2017-147606,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Consumer,01-12-2017,Second Class,Shipped Late,Texas,Furnishings,5,3,60,14,5,19,29
Office Supplies,Decatur,United States,12-06-2019,2019,Jun,CA-2019-127208,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,Corporate,15-06-2019,First Class,Shipped Late,Alabama,Appliances,3,1,0,56,1,208,312
Office Supplies,Decatur,United States,12-06-2019,2019,Jun,CA-2019-127208,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,South,Corporate,15-06-2019,First Class,Shipped Late,Alabama,Binders,3,1,0,8,3,17,25
Office Supplies,San Francisco,United States,12-10-2017,2017,Oct,CA-2017-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,16-10-2017,Standard Class,Shipped Early,California,Art,4,6,0,4,5,15,22
Office Supplies,San Francisco,United States,12-10-2017,2017,Oct,CA-2017-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,16-10-2017,Standard Class,Shipped Early,California,Storage,4,6,0,6,1,21,32
Office Supplies,Durham,United States,03-09-2018,2018,Sep,CA-2018-149734,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,Corporate,08-09-2018,Standard Class,Shipped Early,North Carolina,Envelopes,5,6,20,63,7,201,301
Office Supplies,Chicago,United States,13-11-2020,2020,Nov,US-2020-119662,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,Central,Home Office,16-11-2020,First Class,Shipped Late,Illinois,Storage,3,1,20,49,3,230,345
Furniture,Columbia,United States,28-05-2020,2020,May,CA-2020-140088,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,South,Consumer,30-05-2020,Second Class,Shipped Early,South Carolina,Chairs,2,3,0,33,2,302,452
Technology,Rochester,United States,26-10-2020,2020,Oct,CA-2020-155558,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,Consumer,02-11-2020,Standard Class,Shipped Late,Minnesota,Accessories,7,6,0,7,1,20,30
Office Supplies,Rochester,United States,26-10-2020,2020,Oct,CA-2020-155558,55901,OFF-LA-10000134,Avery 511,Central,Consumer,02-11-2020,Standard Class,Shipped Late,Minnesota,Labels,7,6,0,3,2,6,9
Office Supplies,Houston,United States,05-04-2019,2019,Apr,CA-2019-159695,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,Central,Home Office,10-04-2019,Second Class,Shipped Late,Texas,Storage,5,3,20,14,7,158,237
Office Supplies,Los Angeles,United States,17-09-2019,2019,Sep,CA-2019-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,Corporate,22-09-2019,Standard Class,Shipped Early,California,Art,5,6,0,7,3,20,30
Technology,Los Angeles,United States,17-09-2019,2019,Sep,CA-2019-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,Corporate,22-09-2019,Standard Class,Shipped Early,California,Phones,5,6,20,8,2,74,110
Office Supplies,Los Angeles,United States,17-09-2019,2019,Sep,CA-2019-109806,90036,OFF-PA-10000304,Xerox 1995,West,Corporate,22-09-2019,Standard Class,Shipped Early,California,Paper,5,6,0,3,1,6,10
Office Supplies,Minneapolis,United States,31-01-2018,2018,Jan,CA-2018-149587,55407,OFF-PA-10003177,Xerox 1999,Central,Consumer,05-02-2018,Second Class,Shipped Late,Minnesota,Paper,5,3,0,6,2,13,19
Furniture,Minneapolis,United States,31-01-2018,2018,Jan,CA-2018-149587,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Central,Consumer,05-02-2018,Second Class,Shipped Late,Minnesota,Furnishings,5,3,0,17,3,53,80
Office Supplies,Minneapolis,United States,31-01-2018,2018,Jan,CA-2018-149587,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,Central,Consumer,05-02-2018,Second Class,Shipped Late,Minnesota,Binders,5,3,0,16,2,33,49
Office Supplies,Portland,United States,06-11-2020,2020,Nov,US-2020-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,Home Office,12-11-2020,Standard Class,Shipped On Time,Oregon,Binders,6,6,70,4,1,6,9
Furniture,New York City,United States,09-11-2020,2020,Nov,CA-2020-161018,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,East,Home Office,11-11-2020,Second Class,Shipped Early,New York,Furnishings,2,3,0,41,7,97,145
Office Supplies,San Francisco,United States,17-06-2020,2020,Jun,CA-2020-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,West,Consumer,20-06-2020,First Class,Shipped Late,California,Binders,3,1,20,18,3,51,77
Office Supplies,Saint Paul,United States,06-09-2019,2019,Sep,CA-2019-149223,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Central,Corporate,11-09-2019,Standard Class,Shipped Early,Minnesota,Appliances,5,6,0,23,6,78,117
Office Supplies,Chicago,United States,29-08-2019,2019,Aug,CA-2019-158568,60610,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Central,Home Office,02-09-2019,Standard Class,Shipped Early,Illinois,Paper,4,6,20,23,7,65,97
Technology,Chicago,United States,29-08-2019,2019,Aug,CA-2019-158568,60610,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,Home Office,02-09-2019,Standard Class,Shipped Early,Illinois,Accessories,4,6,20,11,3,96,144
Office Supplies,Chicago,United States,29-08-2019,2019,Aug,CA-2019-158568,60610,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Central,Home Office,02-09-2019,Standard Class,Shipped Early,Illinois,Binders,4,6,80,3,3,2,3
Office Supplies,Rochester,United States,01-12-2019,2019,Dec,CA-2019-129903,55901,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,Consumer,04-12-2019,Second Class,Shipped On Time,Minnesota,Paper,3,3,0,12,4,24,36
Technology,Aurora,United States,13-11-2018,2018,Nov,US-2018-156867,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,Consumer,17-11-2018,Standard Class,Shipped Early,Colorado,Accessories,4,6,20,27,6,239,358
Furniture,Aurora,United States,13-11-2018,2018,Nov,US-2018-156867,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,Consumer,17-11-2018,Standard Class,Shipped Early,Colorado,Furnishings,4,6,20,4,3,102,153
Office Supplies,Aurora,United States,13-11-2018,2018,Nov,US-2018-156867,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Consumer,17-11-2018,Standard Class,Shipped Early,Colorado,Binders,4,6,70,26,3,37,55
Technology,Charlotte,United States,23-11-2020,2020,Nov,CA-2020-119004,28205,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,Consumer,28-11-2020,Standard Class,Shipped Early,North Carolina,Accessories,5,6,20,18,8,74,111
Technology,Charlotte,United States,23-11-2020,2020,Nov,CA-2020-119004,28205,TEC-PH-10002844,Speck Products Candyshell Flip Case,South,Consumer,28-11-2020,Standard Class,Shipped Early,North Carolina,Phones,5,6,20,2,1,28,42
Office Supplies,Charlotte,United States,23-11-2020,2020,Nov,CA-2020-119004,28205,OFF-AR-10000390,Newell Chalk Holder,South,Consumer,28-11-2020,Standard Class,Shipped Early,North Carolina,Art,5,6,20,1,1,3,5
Technology,Orland Park,United States,15-10-2018,2018,Oct,CA-2018-129476,60462,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Central,Home Office,20-10-2018,Standard Class,Shipped Early,Illinois,Accessories,5,6,20,68,5,340,509
